id,Название,Год,Рейтинг,Страна,Жанр,Режиссёр
43602,Самая обаятельная и привлекательная,1985,7.4,СССР,мелодрама,Геральд Бежанов
3797,Адвокат дьявола,1997,7.4,США,триллер,Тейлор Хэкфорд
44027,Судьба человека,1959,7.4,СССР,драма,Сергей Бондарчук
645276,Лекарь: Ученик Авиценны,2013,7.4,Германия,приключения,Филипп Штёльцль
346,12 разгневанных мужчин,1956,7.4,США,драма,Сидни Люмет
5105855,Одна жизнь,2023,7.4,Великобритания,драма,Джеймс Хоуз
4502606,Поток,2024,7.4,Латвия,мультфильм,Гинтс Зильбалодис
4542189,Великолепная поездка,2022,7.4,Франция,драма,Кристиан Карион
41442,Ворошиловский стрелок,1999,7.4,Россия,драма,Станислав Говорухин
567118,Деревья на асфальте,1984,7.4,СССР,драма,Владимир Колос
14349,Такси,1998,7.4,Франция,боевик,Жерар Пирес
808639,Дурак,2014,7.4,Россия,драма,Юрий Быков
5267432,Как приручить дракона,2025,7.4,США,фэнтези,Дин ДеБлуа
738,Жизнь Дэвида Гейла,2002,7.4,Великобритания,триллер,Алан Паркер
958519,Отель Мумбаи: Противостояние,2018,7.4,США,боевик,Энтони Марас
596125,Гонка,2013,7.4,Великобритания,спорт,Рон Ховард
841081,Ла-Ла Ленд,2016,7.4,США,мюзикл,Дэмьен Шазелл
957887,Клаус,2019,7.4,Испания,мультфильм,Серхио Паблос
601564,Легенда №17,2012,7.4,Россия,биография,Николай Лебедев
518037,Невозможное,2012,7.4,Испания,драма,Хуан Антонио Байона
6944852,Нэчжа побеждает Царя драконов,2025,7.4,Китай,мультфильм,Ян Юй
3442,Троя,2004,7.4,США,боевик,Вольфганг Петерсен
485311,Король говорит!,2010,7.4,США,драма,Том Хупер
8408,Гарри Поттер и Кубок огня,2005,7.4,Великобритания,фэнтези,Майк Ньюэлл
46066,Белое солнце пустыни,1969,7.4,СССР,боевик,Владимир Мотыль
368936,Приключения Шерлока Холмса и доктора Ватсона: Король шантажа,1980,7.4,СССР,криминал,Игорь Масленников
251733,Аватар,2009,7.4,США,фантастика,Джеймс Кэмерон
843649,Мстители: Война бесконечности,2018,7.4,США,фантастика,Энтони Руссо
441,Принцесса Мононоке,1997,7.4,Япония,аниме,Хаяо Миядзаки
5619,Звёздные войны: Эпизод 3 – Месть ситхов,2005,7.4,США,фантастика,Джордж Лукас
63991,Пираты Карибского моря: Сундук мертвеца,2006,7.4,США,фэнтези,Гор Вербински
843650,Мстители: Финал,2019,7.4,США,фантастика,Энтони Руссо
327,Крестный отец 2,1974,7.4,США,драма,Фрэнсис Форд Коппола
255611,Искупление,2007,7.4,Великобритания,драма,Джо Райт
692861,Исчезнувшая,2014,7.4,США,триллер,Дэвид Финчер
386,Чужой,1979,7.4,Великобритания,ужасы,Ридли Скотт
44720,Карнавальная ночь,1956,7.3,СССР,комедия,Эльдар Рязанов
1234939,Счастье в конверте,2019,7.3,Россия,семейный,Светлана Суханова
522876,Век Адалин,2015,7.3,США,драма,Ли Толанд Кригер
4996,Общество мертвых поэтов,1989,7.3,США,драма,Питер Уир
45660,Вам и не снилось...,1980,7.3,СССР,драма,Илья Фрэз
345,Молчание ягнят,1990,7.3,США,триллер,Джонатан Демме
933307,Опасная игра Слоун,2016,7.3,США,драма,Джон Мэдден
341,Амели,2001,7.3,Франция,мелодрама,Жан-Пьер Жёне
7653,Особенности национальной охоты,1995,7.3,Россия,комедия,Александр Рогожкин
77203,Покровские ворота,1982,7.3,СССР,мюзикл,Михаил Козаков
6144,Реальная любовь,2003,7.3,Великобритания,мелодрама,Ричард Кёртис
40955,Приходи на меня посмотреть,2000,7.3,Россия,мелодрама,Михаил Агранович
3707,Страсти Христовы,2004,7.3,США,драма,Мэл Гибсон
81555,Загадочная история Бенджамина Баттона,2008,7.3,США,драма,Дэвид Финчер
1048334,Джокер,2019,7.3,США,драма,Тодд Филлипс
1000443,Балканский рубеж,2019,7.3,Россия,боевик,Андрей Волгин
3561,Дневник памяти,2004,7.3,США,драма,Ник Кассаветис
864138,Лев,2016,7.3,Австралия,драма,Гарт Дэвис
4384109,Белая птица: Новое чудо,2023,7.3,США,драма,Марк Форстер
75871,Олдбой,2003,7.3,Корея Южная,триллер,Пак Чхан-ук
1179501,Дело Коллини,2019,7.3,Германия,детектив,Марко Кройцпайнтнер
437410,Темный рыцарь: Возрождение легенды,2012,7.3,США,фантастика,Кристофер Нолан
43970,Сталкер,1979,7.3,СССР,фантастика,Андрей Тарковский
683999,Отель «Гранд Будапешт»,2014,7.3,США,комедия,Уэс Андерсон
839818,Экипаж,2016,7.3,Россия,драма,Николай Лебедев
77283,Тот самый Мюнхгаузен,1979,7.3,СССР,фэнтези,Марк Захаров
